"word","count","prob"
"d-",14278628,0.07831218781532186
"va`",3733161,0.020474796694530787
"la`",2715230,0.01489187908822867
"cu?",2682728,0.01471361947334315
"mo]",2365129,0.012971724346027108
"ca'",2303417,0.01263326033292591
"the^",2258184,0.012385176610074496
"na{",2155634,0.011822733575599386
"tu+",1911386,0.01048313741485364
"co'",1506243,0.008261100766230049
"loa.",1467607,0.00804919877617661
"thu+",1432963,0.007859191204393521
"nhu+",1370957,0.0075191147266201065
"tie^",1361699,0.007468338543166469
"ngu+",1297154,0.007114336732730624
"nha}",1294930,0.007102139040788423
"co]",1294062,0.007097378430803788
"tha'",1227582,0.006732763970229383
"vie^",1223428,0.006709981051017198
"su+",1159167,0.006357536859516418
"ta}",1112597,0.006102120261608023
"vo[",1084679,0.0059490019326321475
"ca}",1005700,0.0055158357851937305
"to]",1003671,0.005504707585125959
"so]",971398,0.005327703937621179
"o[",948803,0.005203779994530345
"ho.",948165,0.005200280836500162
"ta.",894458,0.004905720835987684
"tru+",871186,0.004778083836491782
"pha'",862389,0.004729836041520768
"tha`",842505,0.004620780777771347
"ha`",841545,0.00461551558700493
"va}",838116,0.004596708983736133
"kho]",817570,0.0044840229321873705
"ho]",797820,0.004375702601315762
"na`",783126,0.004295112275147286
"lu+",775506,0.004253319823438848
"hie^",763075,0.004185141087587458
"bo]",742845,0.004074188161332641
"nhie^",721900,0.003959313764871586
"ba{",709217,0.003889752916444011
"qua}",706387,0.00387423157283051
"da}",703263,0.0038570977645447932
"nga`",687567,0.0037710118955138687
"chi'",685919,0.0037619733180315187
"ke^",683580,0.0037491449001120915
"bie^",672302,0.003687289877754117
"du+",663748,0.003640374834195852
"quo]",658764,0.003613039718800202
"la}",646760,0.003547202895925124
"chie^",637452,0.003496152483785735
"lie^",634109,0.0034778175538564297
"chu+",633148,0.0034725468785162974
"pha}",628837,0.003448902881230854
"ba?",624323,0.0034241455154812622
"tha}",620209,0.0034015819792176777
"ve^",619701,0.0033987958157704486
"o]",612547,0.003359559175413209
"nu+",596968,0.0032741150015069415
"cu+",590533,0.0032388217696508
"tho]",549962,0.0030163071294587993
"la.",549610,0.003014376559511113
"te^",547568,0.003003177059985046
"gia'",539114,0.0029568104737982825
"ho[",522432,0.0028653168150843504
"nha`",516367,0.0028320528755027656
"gia?",507536,0.00278361860502544
"kha'",499270,0.0027382831186971005
"cha}",496867,0.002725103688059912
"tre^",485384,0.002662124328090359
"bi.",469919,0.0025773053955876033
"tho[",469623,0.002575681961767958
"le^",464502,0.00254759545977335
"thie^",461559,0.0025314543593300516
"no'",461527,0.002531278852971171
"ca?",457015,0.0025065324563690095
"chu'",447855,0.0024562937611394436
"ba`",444078,0.00243557852621782
"die^",440057,0.002413525055309732
"vu+",436877,0.0023960841108959744
"sa'",430909,0.0023633521749647462
"cuo]",421953,0.0023142323327730438
"lo[",418758,0.002296709119753561
"ti'",411043,0.0022543956335421963
"a}",409282,0.0022447372992300493
"ha.",406815,0.0022312068558750994
"no]",402497,0.002207524466573651
"cu~",400859,0.0021985407348284517
"kha?",391827,0.002149004065034408
"thu?",379987,0.0020840667122485933
"du.",374046,0.0020514828598076707
"tra}",367155,0.0020136886623374805
"hu+",365599,0.0020051546656369122
"hi`",350011,0.0019196611305672098
"xua}",346717,0.0019015949447499401
"kie^",346004,0.0018976844436911322
"trie^",344663,0.0018903296303392928
"hoa`",339112,0.0018598847616472273
"tro[",335498,0.0018400635122411517
"nghie^",333339,0.0018282223175904275
"ta`",332794,0.0018252332249157426
"ta'",330583,0.0018131068324318375
"thi.",327409,0.00179569879546037
"ma`",325144,0.001783276235995854
"ba'",322832,0.001770595901566732
"pho]",321483,0.0017631972116251727
"loa`",321187,0.0017615737778055272
"chi?",320324,0.0017568405906894667
"ma{",319950,0.0017547893601200498
"gio[",317207,0.0017397451744197551
"a'",315579,0.0017308162884117056
