"letter","count"
"n",73086213
"a",64982074
"h",54761731
"i",49484296
"t",47107904
"c",37828401
"g",31974219
"o",29510960
"u",28143118
"ê",19331899
"r",18663720
"m",18405246
"l",17805598
"e",15923809
"ô",15859605
"ư",15773471
"s",14487887
"đ",14287674
"â",12620081
"ơ",12366002
"v",12028039
"p",11146468
"b",10342366
"y",10318672
"d",8742949
"k",8480453
"ă",5690084
"q",3188250
"x",2716308
"f",2208030
"w",1551664
"j",957804
"z",821060
