"letter","count"
"e",4876530962
"a",3970705391
"i",3047952950
"r",2831643058
"o",2706919016
"n",2643348569
"s",2474543898
"t",2424767384
"l",2018881225
"h",1465764726
"c",1340891377
"m",1297984946
"d",1163064590
"u",1162504701
"g",1045346804
"p",874714014
"k",770472307
"b",633751557
"y",623515381
"f",622394134
"v",575686930
"w",417708877
"z",350285188
"j",176650926
"q",108106730
"x",73330065
